Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
Datu Unsay,Municipality,...,...,"12,490","11,813","12,890"
General Salipada K. Pendatun,Municipality,...,"22,542","24,004","28,103","31,263"
Guindulungan,Municipality,...,"14,894","16,071","19,911","24,933"
Mamasapano,Municipality,...,...,"22,354","24,800","27,807"
Mangudadatu,Municipality,...,"10,993","14,864","25,046","26,203"
Pagagawan ( Datu Montawal ),Municipality,...,"27,010","31,265","34,820","37,314"
Pagalungan,Municipality,...,"25,908","31,891","39,653","46,277"
Paglat,Municipality,...,"5,832","11,207","15,920","18,727"
Pandag,Municipality,...,"10,264","13,795","25,057","26,356"
Rajah Buayan,Municipality,...,"16,191","17,423","23,652","27,832"
Shariff Aguak ( Maganoy ),Municipality,...,...,"34,376","31,692","33,982"
Shariff Saydona Mustapha,Municipality,...,...,"16,442","19,855","25,080"
South Upi,Municipality,"20,293","28,186","35,990","40,178","43,197"
Sultan sa Barongis ( Lambayong ),Municipality,...,"18,518","22,547","22,425","24,476"
Talayan,Municipality,...,"14,772","16,042","30,032","34,156"
Misamis Occidental,Province,"424,365","486,723","567,642","602,126","617,333"
Aloran,Municipality,"20,812","23,127","26,630","27,625","27,934"
Baliangao,Municipality,"13,562","14,552","16,155","17,092","18,433"
Bonifacio,Municipality,"24,439","27,810","30,904","32,345","34,558"
Calamba,Municipality,"15,111","17,594","21,005","21,676","23,227"
Clarin,Municipality,"23,802","29,712","35,573","37,548","39,356"
Concepcion,Municipality,"3,877","6,900","7,410","10,937","9,324"
Don Victoriano Chiongbian ( Don Mariano Marcos ),Municipality,"5,803","9,319","9,774","10,183","9,664"
Jimenez,Municipality,"20,589","23,212","25,234","27,654","28,909"
Lopez Jaena,Municipality,"19,912","20,948","23,767","25,055","25,507"
Oroquieta,City,"52,500","59,843","68,945","70,757","72,301"
Ozamis ( Ozamiz ),City,"91,503","110,420","131,527","141,828","140,334"
Panaon,Municipality,"8,844","7,441","10,176","10,209","10,797"
Plaridel,Municipality,"28,824","29,279","35,251","38,900","39,840"
Sapang Dalaga,Municipality,"17,945","17,794","19,431","19,983","20,490"
Sinacaban,Municipality,"14,846","16,030","18,597","18,391","19,671"
Tangub,City,"42,926","49,695","59,892","63,011","68,389"
Tudela,Municipality,"19,070","23,047","27,371","28,932","28,599"
Misamis Oriental ( incl. City of Cagayan de Oro ),Province,"865,051","1,126,215","1,415,944","1,564,459","1,685,302"
Alubijid,Municipality,"19,531","23,397","26,648","29,724","32,163"
Balingasag,Municipality,"41,506","51,782","65,876","67,059","74,385"
Balingoan,Municipality,"6,689","8,197","10,175","11,051","11,020"
Binuangan,Municipality,"5,090","5,924","6,765","7,515","7,441"
Cagayan de Oro,City,"339,598","461,877","602,088","675,950","728,402"
Claveria,Municipality,"31,130","41,109","44,544","48,906","52,478"
El Salvador,City,"26,721","34,650","44,848","50,204","58,771"
Gingoog,City,"82,582","102,379","117,908","124,648","136,698"
Gitagum,Municipality,"10,994","13,522","16,098","16,373","17,920"
Initao,Municipality,"23,113","27,035","29,331","32,370","33,902"
Jasaan,Municipality,"29,146","39,969","50,121","54,478","57,055"
Kinoguitan,Municipality,"8,795","10,519","12,761","14,391","14,091"
Lagonglong,Municipality,"12,705","16,882","19,303","21,659","24,190"
Laguindingan,Municipality,"15,503","18,451","21,822","24,405","26,363"
Libertad,Municipality,"8,487","10,231","11,586","12,354","12,948"
Lugait,Municipality,"11,973","14,704","18,639","19,758","20,559"
Magsaysay ( Linugos ),Municipality,"22,099","24,550","33,047","34,605","36,803"
Manticao,Municipality,"21,443","24,072","26,786","28,422","29,469"
Medina,Municipality,"21,796","25,810","31,154","32,907","35,612"
Naawan,Municipality,"13,345","16,173","18,895","21,213","22,444"
Opol,Municipality,"20,473","36,389","52,108","61,503","66,327"
Salay,Municipality,"18,101","19,664","27,591","28,705","29,998"
Sugbongcogon,Municipality,"6,175","7,362","8,745","9,226","9,764"
Tagoloan,Municipality,"33,919","46,649","63,850","73,150","80,319"
Talisayan,Municipality,"17,015","19,959","23,289","24,505","25,761"
Villanueva,Municipality,"17,122","24,959","31,966","39,378","40,419"
Sarangani,Province,"283,141","410,622","498,904","544,261","558,946"
Alabel,Municipality,...,"60,779","75,477","80,359","88,294"
Glan,Municipality,"60,382","83,051","106,518","118,263","109,547"
Kiamba,Municipality,"35,418","44,724","54,871","61,058","65,774"
Maasim,Municipality,"26,734","39,424","52,933","59,468","64,940"
Maitum,Municipality,"25,640","35,536","41,675","44,595","44,185"
Malapatan,Municipality,"36,255","53,876","72,386","76,914","80,741"
Malungon,Municipality,"57,641","93,232","95,044","103,604","105,465"
South Cotabato ( incl. City of General Santos ),Province,"789,847","1,102,550","1,365,286","1,509,735","1,672,791"
Banga,Municipality,"59,743","69,131","76,343","83,989","89,164"
General Santos ( Dadiangas ),City,"250,389","411,822","538,086","594,446","697,315"
Koronadal,City,"108,708","133,786","158,273","174,942","195,398"
Lake Sebu,Municipality,"34,350","54,142","76,170","87,442","81,221"
Norala,Municipality,"35,566","40,744","44,635","46,642","46,682"
Polomolok,Municipality,"89,372","110,709","138,273","152,589","172,605"
Santo Niño,Municipality,"30,076","36,228","39,738","40,947","39,796"
Surallah,Municipality,"54,136","66,208","76,035","84,539","89,340"
Tampakan,Municipality,"25,526","33,011","36,254","39,525","41,018"
Tantangan,Municipality,"26,346","32,636","40,461","43,245","45,744"
T'Boli,Municipality,"32,373","60,693","79,175","91,453","101,049"
Tupi,Municipality,"43,232","53,440","61,843","69,976","73,459"
Sultan Kudarat,Province,"435,905","586,505","747,087","812,095","854,052"
Bagumbayan,Municipality,"36,524","53,444","63,700","67,061","68,947"
Columbio,Municipality,"17,567","21,698","27,440","33,258","33,527"
Esperanza,Municipality,"35,585","47,578","63,207","66,095","74,696"
Isulan,Municipality,"56,488","73,129","86,602","90,682","97,490"
Kalamansig,Municipality,"30,779","44,645","46,408","49,059","50,900"
Lambayong ( Mariano Marcos ),Municipality,"39,182","51,192","65,557","77,013","79,739"
Lebak,Municipality,"52,428","70,899","83,280","88,868","91,344"
Lutayan,Municipality,"30,276","40,881","56,179","63,029","65,644"
Palimbang,Municipality,"33,821","43,742","83,265","90,424","92,828"
President Quirino,Municipality,"23,591","32,721","38,753","41,408","42,244"
Senator Ninoy Aquino ( Senator Ninoy Aquino ),Municipality,"20,879","30,222","43,508","46,882","47,374"
