Name,Status,Population Census 1990,Population Census 2000,PopulationCensus2010-05-01,Population Census 2015,Population Census 2020
Mendez (Mendez-Nuñez),Municipality,"17,652","22,937","28,570","31,529","34,879"
Naic,Municipality,"51,629","72,683","88,144","111,454","160,987"
Noveleta,Municipality,"20,409","31,959","41,678","45,846","49,452"
Rosario,Municipality,"45,405","73,665","92,253","110,706","110,807"
Silang,Municipality,"93,790","156,137","213,490","248,085","295,644"
Tagaytay,City,"23,739","45,287","62,030","71,181","85,330"
Tanza,Municipality,"61,785","110,517","188,755","226,188","312,116"
Ternate,Municipality,"11,981","17,179","19,297","23,157","24,653"
Trece Martires,City,"15,686","41,653","104,559","155,713","210,503"
Ifugao,Province,"147,281","161,623","191,078","202,802","207,498"
Aguinaldo,Municipality,...,"16,377","18,610","19,408","21,128"
Alfonso Lista (Potia),Municipality,"14,816","21,167","28,410","32,119","34,061"
Asipulo,Municipality,...,"12,294","14,403","15,261","15,963"
Banaue,Municipality,"16,943","20,563","22,365","21,837","20,652"
Hingyon,Municipality,"8,373","9,769","9,795","9,227","9,930"
Hungduan,Municipality,"7,254","9,380","9,933","9,400","8,866"
Kiangan,Municipality,...,"14,099","15,837","17,048","17,691"
Lagawe,Municipality,"12,437","15,269","18,077","19,333","18,876"
Lamut,Municipality,"14,101","18,731","23,088","25,279","26,235"
Mayoyao,Municipality,...,"14,191","16,413","17,331","15,621"
Tinoc,Municipality,"8,256","9,783","14,147","16,559","18,475"
Ilocos Norte,Province,"461,661","514,241","568,017","593,081","609,588"
Adams,Municipality,"1,119","1,480","1,785","1,792","2,189"
Bacarra,Municipality,"26,940","29,668","31,648","32,215","33,496"
Badoc,Municipality,"25,627","27,862","30,708","31,616","32,530"
Bangui,Municipality,"12,321","13,602","14,227","14,672","15,019"
Banna (Espiritu),Municipality,"15,342","16,704","19,051","19,438","19,297"
Batac,City,"43,092","47,682","53,542","55,201","55,484"
Burgos,Municipality,"7,643","8,534","9,687","9,777","10,759"
Carasi,Municipality,632,"1,154","1,473","1,567","1,607"
Currimao,Municipality,"9,467","10,615","11,970","12,184","12,215"
Dingras,Municipality,"30,519","33,310","37,021","38,562","40,127"
Dumalneg,Municipality,"1,428","2,211","2,612","2,947","3,087"
Laoag,City,"83,756","94,466","104,904","111,125","111,651"
Marcos,Municipality,"12,990","15,154","16,984","17,777","18,010"
Nueva Era,Municipality,"5,238","6,095","7,837","9,506","11,968"
Pagudpud,Municipality,"16,558","19,315","21,877","23,770","25,098"
Paoay,Municipality,"20,680","21,745","23,956","24,866","25,001"
